organism,year,location,density,CI
Surgeonfish,2009,Rarotonga,250,32
Coral Trout,2009,Rarotonga,120,21
Spotted Damselfish,2009,Rarotonga,520,47
Yellow Damselfish,2009,Rarotonga,32,15
Surgeonfish,2009,Aitutaki,360,32
Coral Trout,2009,Aitutaki,170,21
Spotted Damselfish,2009,Aitutaki,910,47
Yellow Damselfish,2009,Aitutaki,36,15
Surgeonfish,2018,Rarotonga,20,32
Coral Trout,2018,Rarotonga,4,21
Spotted Damselfish,2018,Rarotonga,19,47
Yellow Damselfish,2018,Rarotonga,90,15
Surgeonfish,2018,Aitutaki,390,32
Coral Trout,2018,Aitutaki,40,21
Spotted Damselfish,2018,Aitutaki,257,47
Yellow Damselfish,2018,Aitutaki,80,15
